"1. Dari skala 1–4, seberapa sulit penugasan OSADA menurut Anda?",2. Jenis kegiatan apa yang paling membantu dalam pengembangan diri Anda selama kegiatan OSADA?,3. Berapa rata-rata waktu yang Anda habiskan per minggu untuk mengerjakan tugas OSADA?,4. Berapa total jam tidur Anda yang berkurang per minggu selama mengikuti OSADA?,5. Sejauh mana OSADA membantu Anda dalam meningkatkan kedisiplinan?,6. Berapa jumlah presentasi atau kesempatan berbicara di depan umum yang Anda lakukan selama OSADA?,7.  Berapa rata-rata biaya (dalam rupiah) yang Anda keluarkan per minggu selama mengikuti OSADA?,8. Seberapa banyak teman baru yang Anda kenal dari pengkaderan OSADA?,9.  Apakah setelah mengikuti pengkaderan OSADA Anda merasa lebih aktif dalam kegiatan akademik maupun non-akademik di kampus?,10.  Apakah OSADA memberikan motivasi tambahan bagi Anda untuk aktif dalam organisasi lain di kampus?
Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,9.5,3.0,Sangat Membantu,1.0,100.0,95.0,Sangat Tidak Aktif,Ya
Mudah,Penjelasan Materi di kelas,6.666666667,7.0,Sangat Membantu,1.0,150000.0,80.0,Tidak Aktif,Ya
Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,2.0,3.0,Membantu,4.0,250.0,60.0,Aktif,Tidak
Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,5.0,3.0,Sangat Membantu,5.375,350000.0,148.0,Aktif,Ya
Sangat Sulit,Wawancara HIMASADA,1.666666667,6.0,Membantu,2.0,150.0,148.0,Tidak Aktif,Tidak
Sangat Sulit,Kerja Kelompok terkait Penugasan OSADA,6.0,0.0,Membantu,0.0,50000.0,16.0,Aktif,Ya
Sangat Sulit,Wawancara HIMASADA,5.0,5.0,Membantu,0.0,200000.0,20.0,Aktif,Tidak
Mudah,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,6.0,9.5,Tidak Membantu,2.0,395000.0,34.0,Tidak Aktif,Ya
Sangat Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,3.36,1.68,Membantu,0.0,200.0,10.0,Tidak Aktif,Tidak
Mudah,Penjelasan Materi di kelas,5.0,1.0,Sangat Membantu,1.0,80000.0,90.0,Aktif,Ya
Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,3.0,5.0,Membantu,0.0,30000.0,15.0,Tidak Aktif,Ya
Sangat Sulit,Wawancara HIMASADA,6.0,3.0,Sangat Membantu,0.0,395000.0,0.0,Sangat Aktif,Ya
Sangat Sulit,Penjelasan Materi di kelas,7.0,3.0,Sangat Tidak Membantu,2.0,395000.0,20.0,Sangat Tidak Aktif,Tidak
Sulit,Kerja Kelompok terkait Penugasan OSADA,9.5,0.0,Tidak Membantu,5.0,200.0,0.0,Tidak Aktif,Ya
Sulit,Wawancara HIMASADA,3.0,1.0,Membantu,1.0,90000.0,12.0,Aktif,Ya
Sulit,Kerja Kelompok terkait Penugasan OSADA,4.0,0.0,Membantu,0.0,23.0,50.0,Tidak Aktif,Tidak
Mudah,Kerja Kelompok terkait Penugasan OSADA,5.333333333,5.333333333,Sangat Membantu,4.0,395000.0,74.0,Aktif,Ya
Sulit,Penjelasan Materi di kelas,9.5,6.0,Sangat Membantu,1.0,500.0,30.0,Aktif,Ya
Sulit,Kerja Kelompok terkait Penugasan OSADA,1.5,1.0,Membantu,1.0,30000.0,40.0,Aktif,Ya
Sangat Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,9.5,9.5,Sangat Membantu,2.0,150000.0,20.0,Aktif,Ya
Sulit,Penjelasan Materi di kelas,2.5,3.0,Membantu,1.0,60000.0,140.0,Aktif,Ya
Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,2.5,5.0,Sangat Membantu,2.0,140000.0,156.0,Aktif,Ya
Mudah,Penjelasan Materi di kelas,5.0,1.0,Sangat Membantu,2.0,100000.0,30.0,Aktif,Ya
Sulit,Kerja Kelompok terkait Penugasan OSADA,3.916666667,2.0,Membantu,0.0,20000.0,62.0,Aktif,Tidak
Sulit,Penjelasan Materi di kelas,9.5,2.0,Membantu,0.0,300000.0,20.0,Tidak Aktif,Tidak
Mudah,Kerja Kelompok terkait Penugasan OSADA,5.0,2.0,Sangat Membantu,3.0,150000.0,18.0,Tidak Aktif,Ya
Mudah,Kerja Kelompok terkait Penugasan OSADA,6.0,2.333333333,Sangat Membantu,1.0,200000.0,13.0,Tidak Aktif,Tidak
Sulit,Kerja Kelompok terkait Penugasan OSADA,3.0,2.0,Membantu,2.0,300.0,50.0,Aktif,Ya
Sulit,Penjelasan Materi di kelas,9.5,9.5,Membantu,1.0,150000.0,20.0,Aktif,Ya
Sulit,Kerja Kelompok terkait Penugasan OSADA,8.0,2.0,Sangat Membantu,1.0,50000.0,160.0,Sangat Aktif,Ya
Mudah,Kerja Kelompok terkait Penugasan OSADA,2.5,7.0,Membantu,0.0,120000.0,50.0,Aktif,Ya
Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,9.5,2.0,Sangat Membantu,2.0,100000.0,60.0,Aktif,Ya
Sangat Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,2.0,5.0,Membantu,2.0,100000.0,127.0,Aktif,Ya
Sulit,Wawancara HIMASADA,2.0,2.0,Membantu,2.0,20000.0,160.0,Aktif,Ya
Sulit,Penjelasan Materi di kelas,4.0,2.0,Membantu,0.0,300000.0,100.0,Aktif,Ya
Mudah,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,4.0,3.0,Sangat Membantu,2.0,75000.0,20.0,Aktif,Ya
Sangat Sulit,Penjelasan Materi di kelas,0.06666666667,2.0,Membantu,0.0,150.0,121.0,Aktif,Ya
Mudah,Kerja Kelompok terkait Penugasan OSADA,9.5,9.5,Tidak Membantu,5.375,395000.0,100.0,Tidak Aktif,Ya
Sulit,Kerja Kelompok terkait Penugasan OSADA,1.0,5.0,Membantu,2.0,50000.0,100.0,Tidak Aktif,Ya
Sangat Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,1.0,9.5,Sangat Membantu,2.0,100.0,120.0,Sangat Aktif,Ya
Sangat Mudah,Kerja Kelompok terkait Penugasan OSADA,0.6666666667,2.666666667,Sangat Membantu,1.0,100000.0,119.0,Aktif,Ya
Mudah,Kerja Kelompok terkait Penugasan OSADA,3.0,3.0,Membantu,2.0,150000.0,150.0,Aktif,Ya
Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,2.0,4.0,Membantu,1.0,90000.0,10.0,Tidak Aktif,Tidak
Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,9.5,5.0,Membantu,0.0,150000.0,120.0,Aktif,Tidak
Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,2.5,3.0,Membantu,1.0,395000.0,120.0,Tidak Aktif,Ya
Sangat Sulit,Kerja Kelompok terkait Penugasan OSADA,2.0,0.0,Tidak Membantu,2.0,60000.0,20.0,Aktif,Ya
Sangat Sulit,Penjelasan Materi di kelas,5.0,2.0,Sangat Tidak Membantu,0.0,200000.0,11.0,Sangat Tidak Aktif,Tidak
Sulit,Kerja Kelompok terkait Penugasan OSADA,2.5,3.333333333,Membantu,1.0,30000.0,40.0,Tidak Aktif,Ya
Mudah,Kerja Kelompok terkait Penugasan OSADA,1.0,2.0,Membantu,1.0,100000.0,120.0,Tidak Aktif,Tidak
Sulit,Kerja Kelompok terkait Penugasan OSADA,9.5,2.0,Sangat Membantu,1.0,100000.0,50.0,Aktif,Ya
Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,2.0,2.0,Sangat Membantu,1.0,200000.0,80.0,Aktif,Ya
Sulit,Penjelasan Materi di kelas,5.0,2.0,Membantu,3.0,50000.0,50.0,Tidak Aktif,Ya
Mudah,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,3.0,4.0,Sangat Membantu,1.0,130000.0,160.0,Aktif,Ya
Sulit,Penjelasan Materi di kelas,2.5,2.0,Sangat Membantu,1.0,60000.0,120.0,Tidak Aktif,Tidak
Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,9.5,9.5,Membantu,1.0,100000.0,115.0,Aktif,Ya
Mudah,Penjelasan Materi di kelas,2.0,4.0,Membantu,0.0,50000.0,120.0,Aktif,Ya
Sulit,Kerja Kelompok terkait Penugasan OSADA,3.0,9.5,Sangat Membantu,2.0,70000.0,120.0,Aktif,Ya
Mudah,Kerja Kelompok terkait Penugasan OSADA,5.0,2.0,Membantu,2.0,200000.0,60.0,Aktif,Ya
Mudah,Penjelasan Materi di kelas,3.0,4.0,Sangat Membantu,0.0,25000.0,20.0,Aktif,Tidak
Sulit,Kerja Kelompok terkait Penugasan OSADA,3.0,2.0,Membantu,3.0,150000.0,120.0,Aktif,Tidak
Mudah,Kerja Kelompok terkait Penugasan OSADA,9.5,4.0,Sangat Membantu,2.0,200000.0,120.0,Aktif,Ya
Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,1.666666667,3.0,Sangat Membantu,2.0,80000.0,30.0,Tidak Aktif,Tidak
Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,2.5,2.0,Membantu,0.0,70000.0,35.0,Tidak Aktif,Tidak
Sangat Sulit,Penjelasan Materi di kelas,2.5,6.0,Tidak Membantu,2.0,150000.0,80.0,Aktif,Tidak
Sangat Mudah,Penjelasan Materi di kelas,9.5,5.0,Sangat Membantu,1.0,150000.0,15.0,Aktif,Tidak
Mudah,Kerja Kelompok terkait Penugasan OSADA,3.0,4.0,Membantu,1.0,150000.0,130.0,Aktif,Ya
Sulit,Kerja Kelompok terkait Penugasan OSADA,2.0,3.333333333,Membantu,4.0,395000.0,20.0,Tidak Aktif,Ya
Sulit,Kerja Kelompok terkait Penugasan OSADA,1.0,4.0,Membantu,0.0,200000.0,40.0,Aktif,Ya
Sulit,Kerja Kelompok terkait Penugasan OSADA,6.0,2.0,Membantu,1.0,100000.0,120.0,Tidak Aktif,Ya
Sulit,Kerja Kelompok terkait Penugasan OSADA,2.0,2.0,Membantu,5.0,200000.0,50.0,Aktif,Ya
Mudah,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,4.0,6.0,Membantu,2.0,200000.0,130.0,Tidak Aktif,Ya
Sulit,Kerja Kelompok terkait Penugasan OSADA,4.0,2.0,Membantu,1.0,100000.0,20.0,Aktif,Ya
Mudah,Kerja Kelompok terkait Penugasan OSADA,6.0,7.333333333,Membantu,5.375,300000.0,100.0,Aktif,Ya
Sangat Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,2.0,4.0,Sangat Membantu,0.0,300000.0,30.0,Aktif,Ya
Sulit,Penjelasan Materi di kelas,3.0,3.0,Membantu,1.0,100000.0,120.0,Tidak Aktif,Tidak
Mudah,Kerja Kelompok terkait Penugasan OSADA,4.0,3.0,Sangat Membantu,1.0,50000.0,100.0,Sangat Aktif,Ya
Mudah,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,2.0,4.0,Sangat Membantu,3.0,200000.0,50.0,Sangat Aktif,Ya
Mudah,Kerja Kelompok terkait Penugasan OSADA,3.0,1.0,Membantu,2.0,100000.0,100.0,Sangat Aktif,Ya
Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,2.0,6.0,Sangat Membantu,2.0,150000.0,100.0,Aktif,Ya
Sulit,Kerja Kelompok terkait Penugasan OSADA,5.0,5.0,Membantu,3.0,200000.0,102.0,Aktif,Ya
Sulit,Kerja Kelompok terkait Penugasan OSADA,9.5,9.5,Membantu,1.0,120000.0,100.0,Aktif,Ya
Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,1.666666667,2.0,Membantu,0.0,30.0,104.0,Aktif,Ya
Mudah,Kerja Kelompok terkait Penugasan OSADA,2.0,8.0,Sangat Membantu,1.0,150000.0,20.0,Sangat Aktif,Ya
Sulit,Wawancara HIMASADA,2.0,3.0,Sangat Membantu,1.0,100000.0,80.0,Aktif,Ya
Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,2.5,2.333333333,Sangat Membantu,1.0,100000.0,100.0,Tidak Aktif,Ya
Sangat Sulit,Kerja Kelompok terkait Penugasan OSADA,3.0,2.0,Membantu,2.0,200000.0,106.0,Aktif,Ya
Sulit,Kerja Kelompok terkait Penugasan OSADA,4.0,2.0,Membantu,5.0,100000.0,80.0,Tidak Aktif,Ya
Sulit,Kerja Kelompok terkait Penugasan OSADA,9.5,9.5,Tidak Membantu,5.375,120000.0,20.0,Tidak Aktif,Tidak
Mudah,Kerja Kelompok terkait Penugasan OSADA,1.166666667,9.5,Sangat Membantu,5.0,30000.0,99.0,Aktif,Ya
Sulit,Wawancara HIMASADA,7.666666667,4.0,Sangat Membantu,1.0,100000.0,50.0,Aktif,Ya
Mudah,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,3.0,3.0,Membantu,2.0,150000.0,80.0,Aktif,Ya
Sulit,Wawancara HIMASADA,2.5,4.0,Sangat Membantu,5.0,70000.0,100.0,Sangat Aktif,Ya
Sulit,Wawancara HIMASADA,1.666666667,2.5,Membantu,2.0,70000.0,100.0,Aktif,Tidak
Sangat Mudah,Kerja Kelompok terkait Penugasan OSADA,9.5,0.0,Sangat Membantu,1.0,250000.0,15.0,Aktif,Ya
Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,9.5,8.333333333,Sangat Membantu,0.0,200000.0,100.0,Tidak Aktif,Tidak
Sulit,Kerja Kelompok terkait Penugasan OSADA,9.5,1.0,Sangat Membantu,5.375,100000.0,10.0,Tidak Aktif,Tidak
Sangat Mudah,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,2.0,3.0,Tidak Membantu,2.0,300000.0,110.0,Sangat Aktif,Tidak
Sangat Mudah,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,1.666666667,1.333333333,Sangat Membantu,3.0,50000.0,47.0,Sangat Aktif,Ya
Mudah,Penjelasan Materi di kelas,2.0,3.0,Sangat Membantu,2.0,75000.0,10.0,Aktif,Ya
Mudah,Kerja Kelompok terkait Penugasan OSADA,5.0,0.5,Membantu,3.0,150000.0,95.0,Aktif,Ya
Sulit,Kerja Kelompok terkait Penugasan OSADA,2.0,3.0,Membantu,2.0,150000.0,50.0,Aktif,Tidak
Sulit,Wawancara HIMASADA,2.0,3.0,Sangat Membantu,1.0,150000.0,90.0,Aktif,Ya
Sulit,Kerja Kelompok terkait Penugasan OSADA,3.0,3.0,Membantu,3.0,150000.0,90.0,Tidak Aktif,Tidak
Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,9.5,9.5,Membantu,2.0,100000.0,100.0,Aktif,Ya
Sulit,Penjelasan Materi di kelas,4.0,9.5,Membantu,1.0,210000.0,34.0,Aktif,Ya
Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,2.5,2.0,Membantu,1.0,150000.0,120.0,Tidak Aktif,Ya
Sulit,Kerja Kelompok terkait Penugasan OSADA,9.5,5.0,Sangat Membantu,1.0,200000.0,70.0,Aktif,Ya
Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,2.0,2.0,Sangat Membantu,2.0,120000.0,100.0,Sangat Aktif,Ya
Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,2.0,2.0,Sangat Membantu,3.0,300000.0,100.0,Tidak Aktif,Tidak
Sulit,Penjelasan Materi di kelas,9.5,9.5,Membantu,3.0,350000.0,78.0,Aktif,Ya
Sulit,Penjelasan Materi di kelas,5.0,8.0,Sangat Membantu,2.0,50000.0,12.0,Tidak Aktif,Tidak
Sangat Mudah,Kerja Kelompok terkait Penugasan OSADA,2.0,3.0,Membantu,5.0,200000.0,50.0,Sangat Aktif,Ya
Sulit,Penjelasan Materi di kelas,4.5,3.0,Membantu,0.0,120000.0,117.0,Aktif,Tidak
Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,1.666666667,0.0,Membantu,1.0,100000.0,120.0,Tidak Aktif,Tidak
Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,3.0,3.0,Membantu,2.0,150000.0,10.0,Tidak Aktif,Ya
Sulit,Kerja Kelompok terkait Penugasan OSADA,1.666666667,3.333333333,Sangat Membantu,4.0,100000.0,50.0,Aktif,Ya
Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,2.333333333,3.333333333,Membantu,0.0,300000.0,100.0,Aktif,Ya
Mudah,Wawancara HIMASADA,1.0,0.5,Tidak Membantu,1.0,80000.0,60.0,Tidak Aktif,Tidak
Sangat Mudah,Kerja Kelompok terkait Penugasan OSADA,2.5,3.0,Membantu,1.0,200000.0,120.0,Aktif,Ya
Mudah,Kerja Kelompok terkait Penugasan OSADA,9.5,2.0,Sangat Membantu,5.0,100000.0,150.0,Aktif,Tidak
Mudah,Kerja Kelompok terkait Penugasan OSADA,1.5,2.0,Tidak Membantu,0.0,150000.0,20.0,Tidak Aktif,Tidak
Sulit,Wawancara HIMASADA,3.0,5.0,Membantu,0.0,200000.0,110.0,Aktif,Ya
Sangat Mudah,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,4.0,4.0,Membantu,1.0,50000.0,120.0,Aktif,Ya
Sangat Mudah,Penjelasan Materi di kelas,2.5,0.5,Sangat Membantu,5.0,100000.0,115.0,Sangat Aktif,Ya
Mudah,Kerja Kelompok terkait Penugasan OSADA,1.333333333,1.25,Tidak Membantu,5.375,20000.0,100.0,Aktif,Ya
Mudah,Kerja Kelompok terkait Penugasan OSADA,2.0,2.0,Tidak Membantu,2.0,150000.0,20.0,Aktif,Ya
Sangat Mudah,Kerja Kelompok terkait Penugasan OSADA,5.0,7.0,Membantu,1.0,100000.0,50.0,Aktif,Tidak
Sangat Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,4.0,3.0,Tidak Membantu,1.0,45000.0,80.0,Sangat Aktif,Ya
Sangat Mudah,Kerja Kelompok terkait Penugasan OSADA,2.5,1.0,Sangat Membantu,1.0,100000.0,112.0,Sangat Aktif,Ya
Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,1.666666667,0.0,Membantu,1.0,25000.0,60.0,Aktif,Ya
Mudah,Kerja Kelompok terkait Penugasan OSADA,2.0,5.0,Membantu,4.0,70000.0,10.0,Aktif,Ya
Sangat Sulit,Kerja Kelompok terkait Penugasan OSADA,1.0,0.0,Tidak Membantu,5.0,50000.0,100.0,Tidak Aktif,Tidak
Mudah,Kerja Kelompok terkait Penugasan OSADA,1.5,9.5,Tidak Membantu,1.0,100000.0,20.0,Sangat Tidak Aktif,Ya
Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,0.6666666667,0.0,Tidak Membantu,3.0,300000.0,110.0,Sangat Aktif,Ya
Sulit,Kerja Kelompok terkait Penugasan OSADA,1.666666667,3.0,Sangat Membantu,0.0,100000.0,100.0,Aktif,Tidak
Mudah,Penjelasan Materi di kelas,1.5,9.0,Sangat Membantu,3.0,110000.0,120.0,Sangat Aktif,Ya
Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,2.0,2.0,Membantu,2.0,100000.0,100.0,Aktif,Ya
Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,2.0,1.166666667,Tidak Membantu,0.0,300000.0,20.0,Tidak Aktif,Tidak
Sulit,Wawancara HIMASADA,3.0,0.0,Membantu,4.0,350000.0,30.0,Aktif,Ya
Sulit,Wawancara HIMASADA,9.5,1.0,Membantu,0.0,200000.0,120.0,Aktif,Ya
Sulit,Penjelasan Materi di kelas,2.0,2.0,Membantu,1.0,100000.0,50.0,Sangat Aktif,Ya
Mudah,Wawancara HIMASADA,3.0,3.0,Sangat Membantu,0.0,100000.0,15.0,Aktif,Ya
Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,2.0,0.0,Membantu,1.0,200000.0,20.0,Tidak Aktif,Ya
Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,2.0,0.0,Membantu,1.0,200000.0,20.0,Aktif,Ya
Sangat Sulit,Penjelasan Materi di kelas,8.333333333,8.33333,Sangat Tidak Membantu,5.375,7.0,10.0,Sangat Tidak Aktif,Tidak
Sangat Sulit,Kerja Kelompok terkait Penugasan OSADA,9.5,8.33333,Tidak Membantu,5.375,200000.0,2.0,Tidak Aktif,Tidak
Mudah,Kerja Kelompok terkait Penugasan OSADA,2.0,1.916666667,Membantu,2.0,100000.0,115.0,Aktif,Ya
Sangat Mudah,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,1.0,1.0,Sangat Tidak Membantu,0.0,7500.0,200.0,Sangat Tidak Aktif,Ya
Sangat Sulit,Wawancara HIMASADA,6.0,5.0,Membantu,4.0,50000.0,120.0,Tidak Aktif,Ya
Mudah,Kerja Kelompok terkait Penugasan OSADA,9.5,2.0,Tidak Membantu,4.0,100000.0,20.0,Aktif,Ya
Sulit,Penjelasan Materi di kelas,2.0,2.0,Membantu,1.0,200000.0,20.0,Aktif,Ya
Mudah,Penjelasan Materi di kelas,2.0,2.0,Membantu,2.0,150000.0,120.0,Tidak Aktif,Ya
Sangat Sulit,Wawancara HIMASADA,0.5,6.0,Membantu,3.0,300000.0,1.0,Sangat Aktif,Ya
Mudah,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,3.0,1.0,Sangat Membantu,3.0,0.0,124.0,Sangat Aktif,Ya
